CLIENTE;DATA_FINANCIAMENTO;TARGET_M3OVER30;IDADE;ESTADO;RENDA;LIMITE_CARTAO;VALOR_FINANC_VEICULOS_ATUAL;SCORE_MERCADO;VALOR_VEICULO;ANO_VEICULO
0;2021-10;1;25.0;SP;4760.043943691213;21361.878421173085;0.0;882.2385358419654;27802,51;2020.0
1;2021-11;1;27.0;CE;1700.0;6551.924995973336;0.0;956.6923653180345;34525,51;2020.0
2;2021-10;1;32.0;RJ;4004.1475551879653;12831.2966526516;29246.823466249378;610.7243374608918;36178,14;2020.0
3;2021-12;1;39.0;CE;12250.0;11252.113449882638;111621.08;815.0693405326233;38681,99;2020.0
4;2021-12;0;38.0;RJ;1800.0;11087.609068163698;0.0;947.3835389058709;30742,18;2021.0
5;2021-10;1;27.0;SP;1100.0;0.0;0.0;963.7437687622977;42068,13;2020.0
6;2021-10;1;58.0;PR;1300.0;0.0;0.0;564.0;44284,50;2019.0
7;2021-10;0;56.0;RJ;8235.569149270204;6909.27359725795;0.0;830.0;29294,97;2020.0
8;2021-11;0;29.0;SP;7200.0;1020.0;0.0;902.0;37996,62;2016.0
9;2021-12;1;24.0;SC;11654.455390274463;1502.28;0.0;609.0;39834,51;2021.0
10;2021-12;1;47.0;RJ;1350.0;4515.140381821928;0.0;747.699236888184;46618,98;2018.0
11;2021-10;1;39.0;SP;5332.2126516148455;2442.77;55770.78405011223;733.9713164085044;37458,24;2016.0
12;2021-12;0;44.0;SC;2750.0;89.28;0.0;638.7975751108731;46850,71;2021.0
13;2021-11;0;51.0;MG;2103.9388960371025;8002.260491442612;0.0;685.0000000000001;26188,37;2021.0
14;2021-12;1;28.0;CE;1300.0;5074.026801627793;0.0;956.8703124924727;48523,30;2021.0
15;2021-11;0;27.0;MG;12751.368529946405;2404.61;26744.25903516871;938.0383541201373;38370,73;2020.0
16;2021-10;0;27.0;SC;1750.0;4599.41610901055;0.0;752.4845353673628;30188,78;2021.0
17;2021-10;0;33.0;SP;1950.0;12420.968690435166;0.0;959.0609764073063;36360,04;2021.0
5661;2021-12;1;29.0;SP;6735.633880527306;133.85;30222.66198409672;649.9999999999999;38709,24;2020.0
